timestamp,inventory,cash_position,mid_price,portfolio_value,unrealized_pnl
2025-03-28 11:00:00,2,999013.83,382.4,999778.64,1.21
2025-03-28 11:15:00,3,998632.33,382.06,999778.51,1.68
2025-03-28 11:30:00,4,998250.5,382.42,999780.2,2.38
2025-03-28 11:45:00,5,997868.98,381.92,999778.58,2.0
2025-03-28 12:00:00,6,997487.49,381.76,999778.05,1.62
2025-03-28 12:15:00,7,997106.92,381.06,999774.34,3.43
2025-03-28 12:30:00,8,996726.71,380.64,999771.87,3.48
2025-03-28 12:45:00,9,996347.31,380.16,999768.795,6.885
2025-03-28 13:00:00,0,999762.55,379.02,999762.55,-0.0
2025-03-28 13:30:00,1,999385.09,378.03,999763.125,0.575
2025-03-28 13:45:00,2,999007.14,378.28,999763.7,0.66
2025-03-28 14:00:00,3,998628.74,378.94,999765.575,1.635
2025-03-28 14:15:00,4,998249.66,379.33,999767.0,1.02
2025-03-28 14:30:00,5,997871.16,379.06,999766.46,2.8
2025-03-28 14:45:00,6,997493.05,378.34,999763.06,1.35
2025-03-28 15:00:00,7,997115.35,378.0,999761.35,2.1
2025-03-28 15:15:00,8,996737.83,377.81,999760.31,2.32
2025-03-28 15:30:00,9,996360.88,377.42,999757.705,4.275
2025-03-31 09:30:00,0,999721.03,370.6,999721.03,-0.0
2025-03-31 10:00:00,1,999351.11,370.47,999721.58,0.55
2025-03-31 10:45:00,2,998983.82,367.77,999719.36,0.96
2025-03-31 11:00:00,3,998616.05,368.35,999721.085,1.725
2025-03-31 11:45:00,4,998245.57,371.08,999729.89,2.4
2025-03-31 12:00:00,5,997875.36,370.71,999728.91,2.5
2025-03-31 12:15:00,6,997504.82,371.25,999732.35,4.29
2025-03-31 12:30:00,7,997133.33,371.8,999735.895,2.135
2025-03-31 12:45:00,8,996763.51,370.76,999729.59,7.52
2025-03-31 13:15:00,9,996392.87,371.5,999736.415,7.785
2025-03-31 13:30:00,0,999734.78,370.75,999734.78,-0.0
2025-03-31 13:45:00,1,999364.64,370.59,999735.23,0.45
2025-03-31 14:15:00,2,998992.48,372.51,999737.5,0.7
2025-03-31 14:30:00,3,998620.28,372.52,999737.84,0.96
2025-03-31 14:45:00,4,998248.67,372.12,999737.15,2.04
2025-03-31 15:15:00,5,997875.79,373.44,999742.965,2.775
2025-04-01 09:30:00,6,997502.49,374.77,999751.11,8.82
2025-04-01 10:00:00,7,997126.19,377.36,999767.675,7.385
2025-04-01 10:15:00,8,996750.5,376.75,999764.54,8.52
2025-04-01 10:45:00,9,996371.21,379.89,999790.22,5.4
2025-04-01 11:00:00,0,999803.27,380.68,999803.27,-0.0
2025-04-01 11:15:00,1,999422.36,381.38,999803.745,0.475
2025-04-01 11:30:00,2,999042.28,380.72,999803.71,1.27
2025-04-01 11:45:00,3,998661.89,380.91,999804.62,1.56
2025-04-01 12:00:00,4,998280.99,381.52,999807.09,2.5
2025-04-01 12:30:00,5,997901.29,380.22,999802.365,2.575
2025-04-01 13:00:00,6,997520.91,380.87,999806.1,2.91
2025-04-01 13:15:00,7,997140.38,380.87,999806.435,2.345
2025-04-01 13:30:00,8,996759.98,380.81,999806.46,3.28
2025-04-01 13:45:00,9,996380.16,380.4,999803.76,5.22
2025-04-01 14:00:00,0,999801.43,379.25,999801.43,-0.0
2025-04-01 14:15:00,1,999423.12,378.71,999801.83,0.4
2025-04-01 14:30:00,2,999044.45,379.2,999802.84,1.05
2025-04-01 14:45:00,3,998665.24,379.82,999804.7,1.83
2025-04-01 15:00:00,4,998285.19,380.43,999806.89,1.5
2025-04-01 15:15:00,5,997904.91,380.58,999807.81,1.5
2025-04-01 15:45:00,6,997523.27,382.23,999816.62,3.51
2025-04-02 09:30:00,7,997146.6,379.32,999801.84,18.55
2025-04-02 09:45:00,8,996765.29,381.87,999820.21,4.44
2025-04-02 10:15:00,9,996385.01,380.99,999813.92,6.39
2025-04-02 10:30:00,0,999824.03,381.54,999824.03,-0.0
2025-04-02 10:45:00,1,999442.88,381.57,999824.45,0.42
2025-04-02 11:00:00,2,999061.91,381.39,999824.7,0.85
2025-04-02 11:30:00,3,998680.33,382.05,999826.48,1.41
2025-04-02 11:45:00,4,998300.01,380.97,999823.87,2.58
2025-04-02 12:00:00,5,997918.79,381.81,999827.815,2.925
2025-04-02 12:15:00,6,997536.57,382.72,999832.89,3.0
2025-04-02 12:30:00,7,997154.07,382.94,999834.65,3.08
2025-04-02 12:45:00,8,996771.13,383.62,999840.13,5.48
2025-04-02 13:00:00,9,996387.17,384.5,999847.67,4.86
2025-04-02 13:15:00,0,999852.46,384.47,999852.46,-0.0
2025-04-02 13:45:00,1,999470.81,382.14,999852.95,0.49
